tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2393,Swisscom GRTE,"Technology 3G,4G",True,True,False,low,Outdoor > 6 Werp,False,2545759,1149935,46.498527,6.732065,BAKOM/geo.admin.ch (22.02.26)
TOWER_2394,SBB NYB-CRA-04033,Technology 2G,False,False,False,low,Outdoor > 6 Werp,False,2506423,1136271,46.371286,6.222477,BAKOM/geo.admin.ch (22.02.26)
TOWER_2395,Swisscom GERM,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2500983,1117798,46.204352,6.155714,BAKOM/geo.admin.ch (22.02.26)
TOWER_2396,Salt GE_0045E,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2503867,1119480,46.219899,6.192728,BAKOM/geo.admin.ch (22.02.26)
TOWER_2397,SBB PUI-MRL-01349,Technology 2G,False,False,False,low,Outdoor > 6 Werp,False,2549244,1150124,46.500501,6.777439,BAKOM/geo.admin.ch (22.02.26)
TOWER_2398,Swisscom CVMU,"Technology 3G,4G,5G",True,True,True,low,Indoor ≤ 6 Werp,True,2503632,1119988,46.224434,6.189578,BAKOM/geo.admin.ch (22.02.26)
TOWER_2399,Sunrise GE035-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2502355,1118747,46.213088,6.173289,BAKOM/geo.admin.ch (22.02.26)
TOWER_2400,Salt VD_1369A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2540672,1154336,46.537684,6.665238,BAKOM/geo.admin.ch (22.02.26)
TOWER_2401,Swisscom LEYP,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2567724,1132280,46.341131,7.019414,BAKOM/geo.admin.ch (22.02.26)
TOWER_2402,Salt GE_0050A,"Technology 3G,4G",True,True,False,low,Outdoor > 6 Werp,False,2505829,1118011,46.206963,6.218448,BAKOM/geo.admin.ch (22.02.26)
TOWER_2403,Swisscom SICR,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2493262,1120240,46.225136,6.055139,BAKOM/geo.admin.ch (22.02.26)
