station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:27386,Jungle Pop,46.200043,6.16198,donkey_ge,", ",5,,False
donkey_ge:22214,Place Camoletti,46.203133,6.155581,donkey_ge,,2,,False
donkey_ge:18559,Rhône Quai général Guisan,46.20464,6.147344,donkey_ge,,14,,False
donkey_ge:23899,Chemin du 1er Août,46.182087,6.121289,donkey_ge,", ",3,,False
donkey_ge:27227,Route d'Aïre 175,46.202538,6.105861,donkey_ge,,5,,False
donkey_ge:28928,Rochette,46.18314,6.1019077,donkey_ge,,3,,False
donkey_ge:22140,Banc-Bénit 35,46.18575,6.1175585,donkey_ge,,4,,False
donkey_ge:18544,Lancy-Place du 1e Août 2 (Pôle de Mobilité),46.18211,6.1204996,donkey_ge,", ",6,,False
donkey_ge:27927,Port-Choiseul,46.288883,6.1699424,donkey_ge,,5,,False
donkey_ge:23896,Route du Grand-Lancy 39,46.184868,6.122682,donkey_ge,,3,,False
donkey_ge:22309,Route de Chêne,46.19993,6.1646395,donkey_ge,,5,,False
donkey_ge:18483,Châtelaine 74,46.211338,6.112903,donkey_ge,,6,,False
donkey_ge:27950,Centre sportif Bellevue,46.256687,6.1408877,donkey_ge,,5,,False
donkey_ge:22166,Mahi,46.216614,6.0868163,donkey_ge,,6,,False
donkey_ge:20714,Robert-Céard 10,46.203243,6.1488986,donkey_ge,,6,,False
donkey_ge:21996,Jean-Dassier,46.20842,6.138704,donkey_ge,,2,,False
donkey_ge:22003,Beau-Site ,46.204926,6.130007,donkey_ge,,5,,False
donkey_ge:18402,Gare des Eaux-Vives,46.200687,6.1663127,donkey_ge,,20,,False
donkey_ge:18514,Hôpital 1,46.193317,6.147544,donkey_ge,,6,,False
donkey_ge:18410,P+R Bernex (Pôle de Mobilité),46.1786,6.083925,donkey_ge,,20,,False
donkey_ge:18517,Jonction,46.200996,6.13053,donkey_ge,,9,,False
donkey_ge:21904,Rue de L'Ecole-de-Chimie,46.196556,6.1466746,donkey_ge,,5,,False
donkey_ge:18496,Gare Cornavin Montbrillant,46.21,6.1406665,donkey_ge,", ",15,,False
donkey_ge:22315,Le Shogun,46.20424,6.1589403,donkey_ge,,1,,False
donkey_ge:21938,Rue de Berne 65,46.21354,6.148301,donkey_ge,", ",5,,False
donkey_ge:18577,Rue du Nant 12,46.202396,6.160724,donkey_ge,,6,,False
donkey_ge:18838,Rousseau 5,46.206875,6.1441193,donkey_ge,,8,,False
donkey_ge:18473,Beth-Yaacov,46.20284,6.1414003,donkey_ge,", ",6,,False
donkey_ge:18596,Vernets,46.193546,6.133333,donkey_ge,,6,,False
donkey_ge:18574,Rue des Rois,46.20319,6.137736,donkey_ge,,6,,False
donkey_ge:21487,Mileant,46.206017,6.1272745,donkey_ge,,4,,False
donkey_ge:18730,Chemin de Compostelle 7,46.171295,6.133857,donkey_ge,,8,,False
donkey_ge:22024,Sainte-Clotilde,46.201233,6.135267,donkey_ge,,4,,False
donkey_ge:22313,Montchoisy 8,46.20279,6.1594763,donkey_ge,,2,,False
donkey_ge:18422,Place St-Gervais,46.205715,6.142793,donkey_ge,,20,,False
donkey_ge:22211,31 Décembre 6,46.205315,6.15785,donkey_ge,,3,,False
donkey_ge:22207,Av. De la Grenade 11,46.205746,6.1607704,donkey_ge,,2,,False
donkey_ge:21951,Chemin de la Tourelle 17,46.223125,6.125495,donkey_ge,,5,,False
donkey_ge:18393,La Praille ,46.18017,6.12853,donkey_ge,,12,,False
donkey_ge:26655,WTC,46.22946,6.106326,donkey_ge,", ",8,,False
donkey_ge:21474,Leschot,46.196537,6.1432304,donkey_ge,", ",6,,False
donkey_ge:18534,Piscine du Lignon,46.20412,6.100424,donkey_ge,,12,,False
donkey_ge:20628,Rue des Bains 31,46.198605,6.1371927,donkey_ge,,4,,False
donkey_ge:27320,TCS,46.219917,6.09852,donkey_ge,,5,,False
donkey_ge:22075,Av. De Crozet 48,46.216633,6.111045,donkey_ge,,3,,False
donkey_ge:22026,Plantaporrêts 6,46.20189,6.1318984,donkey_ge,", ",5,,False
donkey_ge:27882,Epicure,46.247032,6.219189,donkey_ge,", ",5,,False
donkey_ge:22124,Av. De la Praille 55,46.186886,6.1291747,donkey_ge,", ",4,,False
donkey_ge:20721,Grand-Bureau 7,46.191242,6.137969,donkey_ge,,6,,False
donkey_ge:21485,Rond-Point de Rive,46.201725,6.153914,donkey_ge,,6,,False
donkey_ge:18560,Roi-Victor-Amé 3,46.185307,6.1418333,donkey_ge,,6,,False
donkey_ge:21453,Charles Page,46.193153,6.1401124,donkey_ge,,6,,False
donkey_ge:21476,Uni Dufour,46.19966,6.1429663,donkey_ge,,10,,False
donkey_ge:18611,Plainpalais,46.1996,6.141155,donkey_ge,,20,,False
